sigma,clip,epochs,batch,steps,delta,epsilon,test_acc,runtime_s,seed,opacus_version,torch_version
,1.0,15,128,7035,1e-05,,0.9237,88.57799959182739,42,1.5.4,2.9.1+cpu
,1.0,15,128,7035,1e-05,,0.9253,91.38659024238586,43,1.5.4,2.9.1+cpu
,1.0,15,128,7035,1e-05,,0.9243,98.6393256187439,44,1.5.4,2.9.1+cpu
0.25,1.0,15,128,7035,1e-05,118.63961356170368,0.8392,409.7149975299835,42,1.5.4,2.9.1+cpu
0.25,1.0,15,128,7035,1e-05,118.63961356170368,0.84,481.7379047870636,43,1.5.4,2.9.1+cpu
0.25,1.0,15,128,7035,1e-05,118.63961356170368,0.8431,433.10040760040283,44,1.5.4,2.9.1+cpu
0.5,1.0,15,128,7035,1e-05,8.186136044531311,0.8394,484.95210886001587,42,1.5.4,2.9.1+cpu
0.5,1.0,15,128,7035,1e-05,8.186136044531311,0.8403,508.06101989746094,43,1.5.4,2.9.1+cpu
0.5,1.0,15,128,7035,1e-05,8.186136044531311,0.8432,489.4581320285797,44,1.5.4,2.9.1+cpu
0.75,1.0,15,128,7035,1e-05,1.8249900773938847,0.8389,470.2449128627777,42,1.5.4,2.9.1+cpu
0.75,1.0,15,128,7035,1e-05,1.8249900773938847,0.8406,494.09664607048035,43,1.5.4,2.9.1+cpu
0.75,1.0,15,128,7035,1e-05,1.8249900773938847,0.8431,494.82590222358704,44,1.5.4,2.9.1+cpu
1.0,1.0,15,128,7035,1e-05,0.9151728623047556,0.8389,492.443665266037,42,1.5.4,2.9.1+cpu
1.0,1.0,15,128,7035,1e-05,0.9151728623047556,0.8406,476.54609966278076,43,1.5.4,2.9.1+cpu
1.0,1.0,15,128,7035,1e-05,0.9151728623047556,0.8426,488.62387776374817,44,1.5.4,2.9.1+cpu
1.5,1.0,15,128,7035,1e-05,0.48685153011165055,0.8382,463.8762288093567,42,1.5.4,2.9.1+cpu
1.5,1.0,15,128,7035,1e-05,0.48685153011165055,0.8398,475.84148716926575,43,1.5.4,2.9.1+cpu
1.5,1.0,15,128,7035,1e-05,0.48685153011165055,0.8423,484.2204120159149,44,1.5.4,2.9.1+cpu
2.0,1.0,15,128,7035,1e-05,0.33734705282087496,0.8389,486.67648458480835,42,1.5.4,2.9.1+cpu
2.0,1.0,15,128,7035,1e-05,0.33734705282087496,0.8402,475.1534049510956,43,1.5.4,2.9.1+cpu
2.0,1.0,15,128,7035,1e-05,0.33734705282087496,0.8413,456.67982506752014,44,1.5.4,2.9.1+cpu
3.0,1.0,15,128,7035,1e-05,0.2114143249426795,0.8394,456.1778914928436,42,1.5.4,2.9.1+cpu
3.0,1.0,15,128,7035,1e-05,0.2114143249426795,0.8378,540.6040318012238,43,1.5.4,2.9.1+cpu
3.0,1.0,15,128,7035,1e-05,0.2114143249426795,0.8413,506.73979020118713,44,1.5.4,2.9.1+cpu
4.0,1.0,15,128,7035,1e-05,0.1548937107081231,0.84,545.8074898719788,42,1.5.4,2.9.1+cpu
4.0,1.0,15,128,7035,1e-05,0.1548937107081231,0.8375,540.7429349422455,43,1.5.4,2.9.1+cpu
4.0,1.0,15,128,7035,1e-05,0.1548937107081231,0.8395,530.4333231449127,44,1.5.4,2.9.1+cpu
